Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
218,0,-0.00753521,0.0105134,-1.5117,-646.113,1582.47,174.219
219,0,-0.00526302,0.0137023,-1.5097,-644.924,1563.13,174.292
220,0,-0.00423501,0.0139638,-1.50797,-643.593,1543.97,173.828
221,0,-0.00175274,0.0100974,-1.50778,-642.138,1524.64,173.796
222,0,-0.00229825,0.0119944,-1.50508,-640.698,1505.24,173.88
223,0,-0.00213833,0.00974493,-1.50378,-639.308,1486.02,173.51
224,0,-0.00254509,0.00999522,-1.50102,-637.819,1466.86,173.23
225,0,-0.00285436,0.00953367,-1.49914,-636.216,1447.68,172.765
226,0,-0.00280267,0.010002,-1.49727,-634.634,1428.33,172.435
227,0,-0.00327208,0.0116976,-1.49436,-632.849,1409.03,171.961
228,0,-0.00258183,0.0117246,-1.49261,-631.054,1389.59,171.472
229,0,-0.00197526,0.011436,-1.49035,-629.381,1370.09,171.06
230,0,-0.000679723,0.0110898,-1.48712,-627.633,1350.75,170.72
231,0,0.000664522,0.010256,-1.48475,-625.952,1331.2,170.263
232,0,0.00288856,0.0092122,-1.48298,-623.946,1311.82,169.797
233,0,0.00239779,0.00861647,-1.48082,-621.926,1292.24,169.25
234,0,0.00439483,0.0100198,-1.47913,-619.867,1272.33,169.012
235,0,0.00569949,0.0116006,-1.47493,-618.258,1252.69,168.833
236,0,0.00572453,0.0116129,-1.47267,-616.142,1233.15,168.593
237,0,0.00486679,0.0120241,-1.47026,-613.969,1213.51,168.203
238,0,0.00551364,0.0131976,-1.46723,-611.798,1193.83,168.188
239,0,0.00556106,0.0111176,-1.46551,-609.577,1174.16,167.995
240,0,0.00476542,0.0106415,-1.46301,-607.308,1154.47,167.687
241,0,0.00367511,0.0111008,-1.46037,-604.914,1134.79,167.328
242,0,0.00185692,0.0139898,-1.4556,-602.379,1115.23,166.874
243,0,0.001648,0.0142926,-1.45283,-599.931,1095.53,166.564
244,0,9.66317e-005,0.0149146,-1.44952,-597.4,1075.76,166.2
245,0,0.000327845,0.0141094,-1.44621,-594.741,1055.95,165.688
246,0,0.00153092,0.012251,-1.44312,-591.852,1036.2,165.281
